complaint_text,category,priority,department
The locality has been affected by footpath encroachment for several days.,Encroachment,Medium,Encroachment Department
Multiple complaints have been raised about traffic congestion.,Transport,Medium,Transport Department
Multiple complaints have been raised about open sewage.,Sewage,High,Sewage Department
There is a serious problem involving footpath encroachment.,Encroachment,Medium,Encroachment Department
The locality has been affected by eve teasing incident for several days.,Women & Child Safety,High,Women & Child Safety Department
Urgent attention is required due to ambulance delay.,Healthcare,High,Healthcare Department
Residents are facing injured animal in the area.,Animal Issues,Medium,Animal Issues Department
Urgent attention is required due to office inefficiency.,Government Services,Medium,Government Services Department
The locality has been affected by public land encroachment for several days.,Encroachment,Medium,Encroachment Department
People are suffering because of illegal dumping.,Waste,Medium,Waste Department
Authorities have not resolved the website not working yet.,Digital Services,Low,Digital Services Department
There is a serious problem involving corrupt practice.,Corruption,Medium,Corruption Department
Citizens have repeatedly reported wastewater leakage.,Sewage,High,Sewage Department
Please take immediate action regarding public harassment.,Public Safety,Medium,Public Safety Department
Multiple complaints have been raised about ambulance delay.,Healthcare,High,Healthcare Department
Urgent attention is required due to faulty street lighting.,Streetlight,Medium,Streetlight Department
Residents are facing corrupt practice in the area.,Corruption,Medium,Corruption Department
Urgent attention is required due to broken toilet facility.,Public Toilets,Medium,Public Toilets Department
Residents are facing dry public taps in the area.,Water,High,Water Department
There is a serious problem involving eve teasing incident.,Women & Child Safety,High,Women & Child Safety Department
Citizens have repeatedly reported lack of sanitation.,Public Toilets,Medium,Public Toilets Department
Citizens have repeatedly reported traffic noise.,Noise Pollution,Medium,Noise Pollution Department
Multiple complaints have been raised about illegal building extension.,Illegal Construction,Medium,Illegal Construction Department
Please take immediate action regarding teacher shortage.,Education,Medium,Education Department
Urgent attention is required due to document processing delay.,Government Services,Medium,Government Services Department
Residents are facing double parking in the area.,Parking,Low,Parking Department
The locality has been affected by website not working for several days.,Digital Services,Low,Digital Services Department
People are suffering because of overflowing dustbins.,Waste,Medium,Waste Department
The locality has been affected by fertilizer shortage for several days.,Agriculture,Medium,Agriculture Department
The situation is worsening because of robbery case.,Crime,High,Crime Department
The situation is worsening because of service request pending.,Government Services,Medium,Government Services Department
The locality has been affected by roof leakage for several days.,Housing,Medium,Housing Department
Urgent attention is required due to lack of toilets in school.,Education,Medium,Education Department
Please take immediate action regarding pest infestation.,Agriculture,Medium,Agriculture Department
The locality has been affected by stray dog attack for several days.,Animal Issues,Medium,Animal Issues Department
Authorities have not resolved the poor mobile signal yet.,Telecom,Medium,Telecom Department
People are suffering because of sewage smell.,Sewage,High,Sewage Department
Residents are facing illegal dumping in the area.,Waste,Medium,Waste Department
Please take immediate action regarding broken school furniture.,Education,Medium,Education Department
Urgent attention is required due to injured animal.,Animal Issues,Medium,Animal Issues Department
People are suffering because of digital payment issue.,Digital Services,Low,Digital Services Department
There is a serious problem involving industrial smoke.,Pollution,Medium,Pollution Department
The situation is worsening because of dry public taps.,Water,High,Water Department
Citizens have repeatedly reported flood risk.,Flooding,High,Flooding Department
There is a serious problem involving unauthorized construction.,Illegal Construction,Medium,Illegal Construction Department
Authorities have not resolved the child safety concern yet.,Women & Child Safety,High,Women & Child Safety Department
Residents are facing industrial smoke in the area.,Pollution,Medium,Pollution Department
There is a serious problem involving voltage fluctuation.,Electricity,High,Electricity Department
Citizens have repeatedly reported air pollution.,Pollution,Medium,Pollution Department
The locality has been affected by public grievance unresolved for several days.,Government Services,Medium,Government Services Department
